22 Nov 2024 - 16:03:37.283 [main] INFO  c.e.InterviewQuestionsApplication - Starting InterviewQuestionsApplication using Java 17.0.12 with PID 11724 (D:\JavaProject\Interview_questions\target\classes started by Xojiakbar in D:\JavaProject\Interview_questions)
22 Nov 2024 - 16:03:47.072 [main] INFO  c.e.InterviewQuestionsApplication - Started InterviewQuestionsApplication in 10.327 seconds (process running for 11.105)
22 Nov 2024 - 16:03:47.487 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:postgresql://localhost:5432/Interview_questions (PostgreSQL 14.13)
22 Nov 2024 - 16:03:47.612 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 3 migrations (execution time 00:00.080s)
22 Nov 2024 - 16:03:47.641 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "public": 2
22 Nov 2024 - 16:03:47.649 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "public" is up to date. No migration necessary.
22 Nov 2024 - 16:30:14.232 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=16m2s714ms998µs400ns).
22 Nov 2024 - 16:46:51.971 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=2m7s512ms685µs101ns).
22 Nov 2024 - 18:05:40.789 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h8m48s641ms433µs100ns).
22 Nov 2024 - 18:34:25.359 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=22m14s485ms491µs200ns).
22 Nov 2024 - 18:44:52.256 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=6m56s822ms709µs600ns).
22 Nov 2024 - 18:48:28.911 [HikariPool-1 housekeeper] WARN  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1m6s595ms358µs100ns).
22 Nov 2024 - 18:54:47.325 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
22 Nov 2024 - 18:54:47.329 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
22 Nov 2024 - 18:54:47.337 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
